date,month,value,type,mean,stdev,anom
07/08/2013,8.00,1.005731717,no correction,1.010118829,0.139559792,-0.031435361
08/07/2013,7.00,0.907650285,no correction,0.89647801,0.124188384,0.089962315
25/08/2013,8.00,1.098502854,no correction,1.010118829,0.139559792,0.633305799
07/09/2013,9.00,1.169373887,no correction,1.180670926,0.153433391,-0.073628296
15/09/2013,9.00,1.239661962,no correction,1.180670926,0.153433391,0.384473256
27/09/2013,9.00,1.310033316,no correction,1.180670926,0.153433391,0.843117583
23/10/2013,10.00,1.378379352,no correction,1.307276418,0.141419388,0.502780666
07/12/2013,12.00,1.40905289,no correction,1.34117191,0.174417511,0.389186727
10/03/2014,3.00,1.348377673,no correction,1.192007919,0.188399557,0.829990032
23/03/2014,3.00,1.273807205,no correction,1.192007919,0.188399557,0.434179819
25/02/2014,2.00,1.409615146,no correction,1.372807156,0.12594535,0.292253666
01/04/2014,4.00,1.221062826,no correction,1.045748782,0.162939554,1.07594528
11/04/2014,4.00,1.164849023,no correction,1.045748782,0.162939554,0.730947381
23/04/2014,4.00,1.086823867,no correction,1.045748782,0.162939554,0.252087864
01/05/2014,5.00,1.012662294,no correction,0.939584997,0.125073075,0.584276808
18/05/2014,5.00,0.93085386,no correction,0.939584997,0.125073075,-0.069808288
07/06/2014,6.00,0.855258375,no correction,0.819475172,0.131552327,0.272007376
06/08/2014,8.00,0.987328904,no correction,1.010118829,0.139559792,-0.163298646
14/08/2014,8.00,1.055976666,no correction,1.010118829,0.139559792,0.328589175
11/07/2014,7.00,0.913502648,no correction,0.89647801,0.124188384,0.137087198
25/08/2014,8.00,1.134668637,no correction,1.010118829,0.139559792,0.892447648
09/09/2014,9.00,1.206469049,no correction,1.180670926,0.153433391,0.168138908
21/09/2014,9.00,1.277296459,no correction,1.180670926,0.153433391,0.62975557
11/10/2014,10.00,1.322884996,no correction,1.307276418,0.141419388,0.110370855
12/12/2014,12.00,1.328458951,no correction,1.34117191,0.174417511,-0.072888086
