system:index,CEC,IntraVarMaxTemp,IntraVarPPT,MAP,MAPVariance,MAT,MATMax,MatMaxVar,PPTSeasonality,SIF2015_mean,Sand,WaterTableDepth,constant,mcwd2015,ppt2015_mean,temp2015_mean,Long,Lat
0,14,2.597943934,59.42722836,901.5835818,174.2719751,298.77383,309.8803,0.831399323,0.513007834,-0.301274197,49,-9.126277,0,0.889942105,-0.857621727,0.562896294,-61.31001814,-18.64004215
1,13,2.521954274,58.4180606,951.2516029,208.0731139,298.78488,309.6584,0.909826848,0.467344188,0.115497518,52,-37.232594,0,0.18272331,-1.191694427,0.464893324,-60.8608605,-18.64004215
2,21,1.957943061,119.4959215,2150.129155,314.1775811,292.82288,300.11703,0.324410957,0.484050005,0.429682618,40,-47.08313,0,0.40824831,-0.373931387,0.086905412,-64.45412164,-17.74172686
3,16,2.15174859,115.7438353,2098.746541,333.1229962,294.11807,301.83432,0.321540435,0.455455496,0.429682618,46,-35.03336,0,0.408248295,-0.391827071,-0.054973724,-64.00496399,-17.74172686
4,14,2.496942543,95.40369664,1757.92562,295.9024571,296.58026,305.3879,0.333255083,0.40079311,-0.754380619,48,-37.293304,0,0.53530744,-0.239151232,-0.235548238,-63.55580635,-17.74172686
5,22,1.204270816,86.05127029,1201.166347,152.7602883,282.7459,290.21906,0.304783362,0.687003946,1.240772707,34,-35.512413,0,-0.330030988,-0.502008676,0.499050594,-65.80159456,-17.29256922
6,21,1.715526661,172.4937772,2382.891763,185.5791072,288.106,294.38724,0.332238725,0.665222786,-0.467457862,30,-35.08643,0,0,-0.013166805,0.56156399,-65.35243692,-17.29256922
7,8,1.909659357,71.47720827,1040.653088,233.3404088,298.23633,308.03186,0.423521619,0.556242617,0.002179739,57,-34.609943,0,1.13219356,-0.818298676,0.831042664,-60.41170286,-17.29256922
8,9,1.901224435,72.3821173,1100.997593,199.1465853,298.02448,307.75906,0.454826718,0.510004555,0.975136555,49,-29.186192,0,1.310436862,-0.599598572,1.007051394,-59.96254521,-17.29256922
9,20,1.215139502,84.58659941,1390.602247,124.1669042,285.4205,292.31116,0.301568748,0.582739162,-0.516893358,38,-35.653473,0,2.136907,-0.417365142,0.784325788,-66.2507522,-16.84341158
10,19,1.521773954,215.1733497,3159.455948,263.5106156,290.79736,297.87445,0.347554443,0.652450849,1.667075124,28,-35.089314,0,0,-0.609502442,0.554540527,-65.80159456,-16.84341158
11,15,1.992318359,179.0276182,3396.187492,355.7105434,297.2983,306.23648,0.45266302,0.486211915,0.179223318,15,-9.386305,0,0,-0.533747416,0.219513523,-64.90327928,-16.84341158
12,16,1.320955481,110.1725048,1714.808213,114.000333,291.28192,299.03207,0.266823695,0.618562656,0.614448634,40,-38.930717,0,0.408248301,-0.429603319,0.575782025,-66.69990985,-16.39425394
13,18,1.425512226,141.7606126,2146.568553,144.2900487,292.53632,300.4747,0.300482758,0.628926472,0.958270205,33,-29.209951,0,0,-0.566179145,0.611185686,-66.2507522,-16.39425394
14,16,2.021801586,208.0450165,3581.818843,337.9903445,296.77243,305.6906,0.544387577,0.558427519,0.144622228,21,-7.4267864,0,0,-0.144970452,0.726555255,-65.80159456,-16.39425394
15,17,2.109043861,192.4201615,3557.907993,421.1333977,298.17282,307.65582,0.586124302,0.524613631,-0.514471472,19,-3.3762002,0,0,-0.439358381,0.620341531,-65.35243692,-16.39425394
16,17,1.48579598,93.18774626,1338.311995,133.8868198,284.6904,292.00293,0.227902661,0.66683193,0.766243309,44,-49.027184,0,-0.360465054,-0.501403932,1.098106276,-68.04738277,-15.94509629
17,15,1.592385121,90.05444166,1571.839701,138.6587607,294.05466,302.11517,0.254170061,0.525241371,-0.193431427,43,-42.471306,0,-0.712144743,-0.375025063,0.973900886,-67.59822513,-15.94509629
18,16,1.623075794,96.75113981,1681.504133,170.5215978,294.1622,302.64075,0.322707205,0.524456076,-0.485644501,42,-39.27046,0,0.629694631,-0.453109243,0.712780932,-67.14906749,-15.94509629
19,16,1.658043474,136.1283658,2207.764611,241.4154747,294.81277,303.45236,0.331466724,0.571089895,-0.011348507,36,-34.436516,0,0.612832928,0.121859537,0.600431911,-66.69990985,-15.94509629
20,14,1.936889697,142.7030379,2421.617482,309.5376804,296.5558,305.69754,0.425740006,0.540797651,0.157442362,31,-15.373283,0,0,0.184081278,0.632795466,-66.2507522,-15.94509629
21,16,2.147724829,158.5019492,2762.405851,396.5272132,298.5283,308.26328,0.564153922,0.525390135,-0.753061317,28,-4.695068,0,0,0.03618914,0.721718512,-65.80159456,-15.94509629
22,15,1.863590546,165.2715682,2870.429019,388.111621,298.50888,307.94623,0.489134182,0.517991342,0.125564522,27,-2.0600107,0,0,-0.153883964,0.844542259,-65.35243692,-15.94509629
